#BioSample	Organism group	Scientific name	Isolation type	Location	Isolation source	Isolate	Antibiotic	Resistance phenotype	Measurement sign	MIC (mg/L)	Disk diffusion (mm)	Laboratory typing platform	Vendor	Laboratory typing method version or reagent	Testing standard	Create date
SAMN36727282	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830682.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-19T12:04:23Z
SAMN36727281	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830683.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-07-27T13:50:14Z
SAMN36729167	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830755.1	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2023-07-27T14:47:37Z
SAMN36729165	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830757.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-17T19:57:29Z
SAMN36729161	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830760.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-18T23:57:00Z
SAMN36728917	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830761.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-07-27T14:47:39Z
SAMN36729144	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	blood	PDT001830776.2	levofloxacin	resistant	>=	8.0		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-17T02:04:50Z
SAMN36729143	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830777.2	levofloxacin	resistant	>=	8.0		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-21T14:07:39Z
SAMN36728942	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830800.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-17T08:16:02Z
SAMN36728936	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830806.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-07T12:09:24Z
SAMN36728920	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830817.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-19T12:04:24Z
SAMN36729179	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830829.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-07-27T14:47:52Z
SAMN36729176	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830832.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-18T10:17:41Z
SAMN36728918	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830839.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-07-27T14:47:54Z
SAMN36729111	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830847.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-19T12:04:24Z
SAMN36729097	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830862.3	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-17T12:10:18Z
SAMN36729066	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830869.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-19T16:56:30Z
SAMN36728898	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830903.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-04T15:07:20Z
SAMN36728964	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830908.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-18T23:57:01Z
SAMN36728952	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830921.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-07T12:09:25Z
SAMN36729078	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830937.3	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-20T22:17:26Z
SAMN36728905	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830949.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-17T16:02:38Z
SAMN36729038	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830951.2	levofloxacin	resistant	==	4.0		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-21T14:07:41Z
SAMN36729030	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830959.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-17T08:16:03Z
SAMN36729139	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830977.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-20T22:17:27Z
SAMN36729133	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001830981.1	levofloxacin	susceptible	==	0.5		Vitek	Biomérieux	96-Well Plate	CLSI	2023-07-27T14:48:23Z
SAMN36729012	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal specimen	PDT001831000.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-18T23:57:02Z
SAMN36729005	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001831008.2	minocycline	susceptible	<=	0.5		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-17T19:57:30Z
SAMN36729004	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal specimen	PDT001831009.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-18T03:07:30Z
SAMN36728999	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001831015.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-21T14:07:42Z
SAMN36728996	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001831018.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-07-27T14:48:30Z
SAMN36729020	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001831062.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-02T21:44:48Z
SAMN36729210	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001831068.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-17T02:04:52Z
SAMN36729195	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001831075.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-18T03:07:30Z
SAMN36733048	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT001842128.1	oxacillin	resistant	>	2.0		Phoenix	Becton Dickinson		CLSI	2023-08-05T23:48:15Z
SAMN36733051	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	wound	PDT001842129.1	rifampin	susceptible	<	1.0		Phoenix	Becton Dickinson		CLSI	2023-08-05T23:48:23Z
SAMN36733047	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT001842130.1	rifampin	susceptible	<	1.0		Phoenix	Becton Dickinson		CLSI	2023-08-05T23:48:29Z
SAMN36733046	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT001842131.1	rifampin	susceptible	<	1.0		Phoenix	Becton Dickinson		CLSI	2023-08-05T23:48:47Z
SAMN36733049	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	bone biopsy	PDT001842132.1	oxacillin	resistant	>	2.0		Phoenix	Becton Dickinson		CLSI	2023-08-06T00:09:10Z
SAMN36892924	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001845601.3	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-17T18:06:29Z
SAMN36892923	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001845602.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-18T23:57:04Z
SAMN36892898	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001845627.2	levofloxacin	susceptible	==	0.5		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-07T14:04:03Z
SAMN36892890	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001845635.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-07T00:17:27Z
SAMN36892888	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001845637.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-18T14:04:52Z
SAMN36892879	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001845646.3	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-16T16:25:52Z
SAMN36892871	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001845654.3	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-17T10:06:10Z
SAMN36892869	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001845656.2	levofloxacin	susceptible	==	0.5		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-18T23:57:04Z
SAMN36892855	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001845671.3	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-07T14:04:03Z
SAMN36892846	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001845672.3	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-04T17:04:59Z
SAMN37516950	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001903537.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-18T10:17:44Z
SAMN37516932	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001903557.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-07T14:04:06Z
SAMN37516918	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001903572.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-16T22:18:43Z
SAMN37516915	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001903574.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-18T03:07:33Z
SAMN37516914	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001903575.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-07T14:04:06Z
SAMN37516913	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001903576.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-16T16:25:55Z
SAMN37516912	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001903578.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-07T12:09:30Z
SAMN37516909	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001903581.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-18T03:07:34Z
SAMN37516899	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001903590.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-17T08:16:07Z
SAMN37516891	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001903597.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-17T08:16:08Z
SAMN38228817	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986200.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T07:53:42Z
SAMN38228816	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986201.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T07:53:42Z
SAMN38228881	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986202.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-11-15T17:56:27Z
SAMN38228879	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986203.2	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T07:53:42Z
SAMN38228815	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986204.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T07:53:42Z
SAMN38228869	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	tracheal aspirate	PDT001986211.1	ciprofloxacin	susceptible	<=	0.5		Vitek	Biomérieux	96-Well Plate	CLSI	2023-11-15T17:56:29Z
SAMN38228814	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986213.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T06:56:06Z
SAMN38228865	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986216.1	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2023-11-15T17:56:30Z
SAMN38228864	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986217.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-11-15T17:56:30Z
SAMN38228862	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986218.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T06:56:07Z
SAMN38228855	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986226.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T06:56:07Z
SAMN38228852	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986228.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-11-15T17:56:32Z
SAMN38228849	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986231.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-11-15T17:56:33Z
SAMN38228845	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986234.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T06:56:08Z
SAMN38228844	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986235.1	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2023-11-15T17:56:34Z
SAMN38228835	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986242.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-11-15T17:56:36Z
SAMN38228834	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986243.1	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2023-11-15T17:56:36Z
SAMN38228831	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986246.2	levofloxacin	resistant	==	4.0		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T06:56:09Z
SAMN38228826	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986251.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T06:56:09Z
SAMN38228809	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986255.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-11-15T17:56:39Z
SAMN38228808	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT001986256.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-11-15T17:56:39Z
SAMN23417368	Staphylococcus aureus	Staphylococcus aureus	clinical	Thailand: Pathum Thani	sputum	PDT001992861.2	trimethoprim	susceptible	==	0.38				E-Test	CLSI	2024-06-05T10:36:08Z
SAMN38334799	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002008159.2	oxacillin	resistant	>	2.0		Phoenix	Becton Dickinson		CLSI	2024-05-17T12:05:43Z
SAMN38334800	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002008160.1	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2023-11-26T23:06:16Z
SAMN38335111	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002011846.1	trimethoprim-sulfamethoxazole	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2023-11-29T23:05:11Z
SAMN38335110	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002011847.2	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2024-09-16T17:54:15Z
SAMN38351591	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002018715.1	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2023-12-06T00:08:21Z
SAMN38351595	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002018716.2	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2024-05-17T14:51:24Z
SAMN38351593	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002018717.1	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2023-12-06T00:08:35Z
SAMN38351592	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002018718.1	oxacillin	resistant	>	2.0		Phoenix	Becton Dickinson		CLSI	2023-12-06T00:11:02Z
SAMN38351594	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002018719.1	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2023-12-06T00:11:08Z
SAMN38351597	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002023720.1	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2023-12-10T23:07:19Z
SAMN36733052	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	sputum	PDT002030668.1	rifampin	susceptible	<	1.0		Phoenix	Becton Dickinson		CLSI	2023-12-14T00:36:35Z
SAMN36733054	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002030669.1	rifampin	susceptible	<=	0.5		Vitek	Biomérieux		CLSI	2023-12-14T00:36:41Z
SAMN36733053	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002030670.1	rifampin	susceptible	<=	0.5		Vitek	Biomérieux		CLSI	2023-12-14T00:36:46Z
SAMN38228873	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002035943.2	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T07:53:43Z
SAMN38228827	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002035947.1	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T06:56:03Z
SAMN38228818	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	blood	PDT002035949.1	levofloxacin	resistant	==	4.0		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T06:56:03Z
SAMN38228848	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002035966.1	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T07:53:40Z
SAMN38228822	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002035968.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2023-12-20T07:53:40Z
SAMN38759728	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002036669.2	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2024-07-19T13:05:44Z
SAMN38761804	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002036670.2	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2024-07-26T15:48:15Z
SAMN38761805	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002036671.2	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2024-07-26T14:05:40Z
SAMN38637649	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002036672.1	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2023-12-18T02:35:09Z
SAMN36733055	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002036673.2	rifampin	susceptible	<=	0.5		Vitek	Biomérieux		CLSI	2024-06-25T16:16:04Z
SAMN38748752	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002036674.1	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2023-12-18T06:01:10Z
SAMN38754069	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002036675.1	oxacillin	resistant	>	2.0		Phoenix	Becton Dickinson		CLSI	2023-12-18T08:51:25Z
SAMN38351596	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002036676.1	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2023-12-18T08:57:27Z
SAMN38752237	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002036677.2	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2024-07-10T11:58:16Z
SAMN38637647	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002039521.1	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2023-12-23T23:02:29Z
SAMN38637639	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002039522.2	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2024-06-12T13:25:29Z
SAMN38637646	Staphylococcus aureus	Staphylococcus aureus	clinical	USA: Detroit, MI	blood	PDT002039523.2	rifampin	susceptible	<=	0.5		Phoenix	Becton Dickinson		CLSI	2024-05-17T15:10:17Z
SAMN39956429	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002080294.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-15T20:09:46Z
SAMN39956428	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002080295.1	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-15T20:09:46Z
SAMN39956401	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002080296.1	levofloxacin	resistant	==	4.0		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-15T20:09:46Z
SAMN39956421	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002080301.1	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-15T20:09:47Z
SAMN39956420	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002080302.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-15T20:09:47Z
SAMN39956400	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002080304.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-15T20:09:47Z
SAMN39956398	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002080312.1	levofloxacin	susceptible	==	0.25		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-15T20:09:49Z
SAMN39956419	Staphylococcus aureus	Staphylococcus aureus	clinical	USA:Boston	Nasal perirectal swab	PDT002080322.1	levofloxacin	susceptible	<=	0.12		Vitek	Biomérieux	96-Well Plate	CLSI	2024-02-15T22:08:08Z
